Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type, Accommodation cost ,Transportation type, Transportation cost 
163,"Edinburgh, Scotland",8/28/2023,9/12/2023,15,william johnson,20,Male,Dutch,Riad," $4,543.00 ",Subway," $1,814.00 "
164,Paris,7/4/2021,7/14/2021,10,james davis,48,Male,USA,Riad," $3,363.00 ",Airplane," $1,855.00 "
165,"Phuket, Thai",1/24/2022,1/29/2022,5,mary johnson,22,Male,Moroccan,Resort," $5,602.00 ",Car rental," $1,204.00 "
166,Thailand,10/22/2023,11/1/2023,10,maria martinez,31,Male,Japan,Hostel," $6,043.00 ",Subway," $1,723.00 "
167,Australia,8/2/2023,8/11/2023,9,charles smith,21,Female,Italian,Hostel," $3,595.00 ",Train," $1,231.00 "
168,"Rome, Italy",4/4/2024,4/5/2024,1,david brown,46,Female,United Arab Emirates,Vacation rental," $6,986.00 ",Ferry," $2,094.00 "
169,"Barcelona, Spain",2/21/2021,2/24/2021,3,robert miller,34,Male,Japanese,Guesthouse," $5,155.00 ",Bus," $1,775.00 "
170,Japan,12/6/2023,12/19/2023,13,james miller,51,Female,USA,Hostel," $4,500.00 ",Car rental," $2,016.00 "
171,Thailand,1/1/2022,1/5/2022,4,john williams,40,Male,Japan,Resort," $3,386.00 ",Train," $1,915.00 "
172,Seoul,12/8/2021,12/15/2021,7,richard smith,47,Male,Germany,Villa," $7,958.00 ",Train," $2,274.00 "
173,Tokyo,4/19/2023,4/22/2023,3,david williams,37,Female,German,Hotel," $4,589.00 ",Ferry," $1,034.00 "
174,"Cape Town, SA",6/23/2024,7/6/2024,13,david jones,22,Female,Canada,Riad," $7,191.00 ",Ferry," $1,963.00 "
175,"Rio de Janeiro, Brazil",6/8/2022,6/11/2022,3,michael davis,41,Female,Brazil,Airbnb," $4,408.00 ",Car rental, $683.00 
176,"Barcelona, Spain",3/11/2023,3/17/2023,6,william brown,43,Female,Canadian,Villa," $3,938.00 ",Ferry, $824.00 
177,France,10/7/2021,10/20/2021,13,david miller,25,Female,Taiwanese,Resort," $7,655.00 ",Subway," $2,056.00 "
178,Seoul,1/26/2024,2/3/2024,8,mary williams,33,Female,British,Hotel," $1,878.00 ",Flight," $1,895.00 "
179,"New York City, USA",5/28/2024,5/30/2024,2,jennifer smith,58,Female,Australian,Vacation rental," $2,420.00 ",Flight, $573.00 
180,"Auckland, New Zealand",11/12/2024,11/13/2024,1,william jones,20,Female,China,Vacation rental," $4,840.00 ",Flight, $156.00 
181,"Los Angeles, USA",8/27/2024,9/5/2024,9,john johnson,46,Female,Brazil,Resort," $3,150.00 ",Subway," $1,115.00 "
182,"Bali, Indonesia",12/29/2023,1/2/2024,4,john miller,50,Female,Brazilian,Villa," $1,027.00 ",Bus," $2,337.00 "
183,"Phuket, Thai",3/19/2021,3/30/2021,11,daniel smith,45,Male,Moroccan,Airbnb," $1,927.00 ",Flight," $1,994.00 "
184,"New York City, USA",7/19/2022,7/25/2022,6,thomas smith,34,Female,Italian,Guesthouse," $3,809.00 ",Flight, $227.00 
185,Tokyo,8/10/2022,8/19/2022,9,linda smith,23,Female,Australian,Villa," $3,291.00 ",Car rental," $1,725.00 "
186,Bangkok,8/15/2022,8/25/2022,10,james wilson,33,Female,German,Airbnb," $5,917.00 ",Subway, $714.00 
187,Greece,3/1/2024,3/8/2024,7,robert davis,52,Male,Vietnamese,Hostel," $1,104.00 ",Flight," $1,383.00 "
188,"Seoul, South Korea",1/7/2022,1/22/2022,15,mary brown,46,Female,UK,Hostel," $4,231.00 ",Airplane," $1,496.00 "
189,"Bangkok, Thai",1/12/2024,1/19/2024,7,mary jones,30,Male,Germany,Airbnb," $2,409.00 ",Flight, $326.00 
190,"London, UK",12/7/2022,12/22/2022,15,patricia smith,42,Male,Greece,Vacation rental, $371.00 ,Train," $2,487.00 "
191,"Phuket, Thai",11/12/2022,11/16/2022,4,james moore,29,Male,New Zealander,Hostel, $217.00 ,Subway," $2,011.00 "
192,"Athens, Greece",12/4/2021,12/17/2021,13,james taylor,39,Male,UK,Guesthouse, $469.00 ,Flight, $164.00 
193,"New York, USA",2/24/2021,3/2/2021,6,william miller,57,Female,Italian,Hotel," $7,986.00 ",Subway," $1,438.00 "
194,Dubai,7/8/2021,7/9/2021,1,john davis,25,Male,USA,Vacation rental," $5,116.00 ",Flight," $2,156.00 "
195,Amsterdam,9/5/2023,9/10/2023,5,charles johnson,24,Female,Taiwanese,Hostel," $1,245.00 ",Car rental, $901.00 
196,"Cape Town, South Africa",8/29/2022,9/11/2022,13,william davis,57,Male,United Kingdom,Guesthouse," $2,736.00 ",Flight, $761.00 
197,"Honolulu, Hawaii",9/1/2024,9/10/2024,9,john jones,46,Female,German,Resort," $4,684.00 ",Car," $2,196.00 "
198,"Cancun, Mexico",3/19/2024,3/27/2024,8,richard johnson,48,Female,Emirati,Hotel," $7,751.00 ",Ferry, $175.00 
199,Rome,10/11/2023,10/16/2023,5,james anderson,32,Male,Germany,Guesthouse," $2,923.00 ",Airplane," $1,749.00 "
200,Hawaii,5/5/2022,5/18/2022,13,robert taylor,45,Female,Indonesian,Vacation rental," $6,951.00 ",Subway," $2,418.00 "
201,Greece,12/6/2021,12/19/2021,13,barbara smith,38,Female,Italy,Resort," $3,636.00 ",Ferry," $1,406.00 "
202,"Honolulu, Hawaii",5/6/2024,5/10/2024,4,michael moore,38,Male,Greece,Riad," $2,910.00 ",Car, $740.00 
203,"Marrakech, Morocco",6/28/2024,7/1/2024,3,james martin,56,Female,South Korean,Vacation rental," $4,231.00 ",Airplane," $1,579.00 "
204,France,4/11/2024,4/17/2024,6,michael wilson,33,Female,American,Resort," $2,503.00 ",Car rental," $1,242.00 "
205,Japan,7/18/2024,7/23/2024,5,james thomas,38,Female,USA,Guesthouse," $6,457.00 ",Train," $1,887.00 "
206,Cape Town,3/20/2023,3/24/2023,4,joseph smith,48,Male,Dutch,Riad," $2,556.00 ",Car rental," $2,407.00 "
207,Barcelona,12/14/2021,12/29/2021,15,james white,27,Female,South Korea,Riad," $1,407.00 ",Flight, $600.00 
208,Thailand,7/10/2021,7/16/2021,6,mary miller,47,Male,Taiwan,Vacation rental," $7,750.00 ",Bus, $693.00 
209,Hawaii,11/3/2024,11/18/2024,15,robert anderson,29,Male,South African,Hostel," $3,486.00 ",Airplane," $2,372.00 "
210,"Vancouver, Canada",8/23/2023,9/2/2023,10,robert wilson,24,Female,Hong Kong,Hotel," $3,446.00 ",Ferry, $905.00 
211,Phnom Penh,2/2/2023,2/4/2023,2,charles williams,36,Female,Italian,Hotel," $4,823.00 ",Airplane, $345.00 
